User ID;Subscription Type;Monthly Revenue;Join Date;Last Payment Date;Country;Age;Gender;Device;Plan Duration
211;Premium;15;15/11/2022;27/06/2023;United States;40;Male;Tablet;7 Months
212;Basic;11;28/10/2022;26/06/2023;Canada;36;Male;Smart TV;8 Months
213;Standard;12;08/09/2022;24/06/2023;United Kingdom;49;Female;Smart TV;10 Months
214;Standard;13;30/06/2022;28/06/2023;Australia;43;Female;Laptop;12 Months
215;Basic;13;02/09/2022;27/06/2023;Germany;50;Female;Smartphone;10 Months
216;Premium;14;08/10/2022;24/06/2023;France;51;Female;Smart TV;9 Months
217;Basic;15;13/11/2022;25/06/2023;Brazil;44;Male;Smart TV;7 Months
218;Standard;12;15/11/2022;28/06/2023;Mexico;27;Male;Tablet;8 Months
219;Premium;12;16/11/2022;25/06/2023;Spain;46;Female;Smartphone;7 Months
220;Basic;12;26/11/2022;27/06/2023;Italy;29;Male;Tablet;7 Months
221;Basic;12;26/11/2022;25/06/2023;United States;47;Male;Smartphone;7 Months
222;Basic;10;12/12/2022;26/06/2023;Canada;48;Female;Smartphone;7 Months
223;Standard;12;08/01/2023;25/06/2023;United Kingdom;34;Female;Smartphone;6 Months
224;Premium;15;27/11/2022;29/06/2023;Australia;40;Female;Smartphone;7 Months
225;Basic;14;11/10/2022;27/06/2023;Germany;48;Female;Smartphone;9 Months
226;Basic;10;27/09/2022;26/06/2023;France;35;Male;Smartphone;9 Months
227;Premium;12;30/09/2022;24/06/2023;Brazil;51;Female;Smartphone;9 Months
228;Standard;10;04/11/2022;27/06/2023;Mexico;39;Male;Smart TV;8 Months
229;Standard;13;04/11/2022;27/06/2023;Spain;29;Male;Smartphone;8 Months
230;Basic;12;30/10/2022;26/06/2023;Italy;51;Male;Laptop;8 Months
231;Premium;11;29/10/2022;24/06/2023;United States;43;Male;Smartphone;8 Months
232;Standard;11;30/08/2022;27/06/2023;Canada;28;Male;Smartphone;10 Months
233;Basic;15;07/07/2022;26/06/2023;United Kingdom;50;Female;Smart TV;12 Months
234;Standard;14;26/05/2022;27/06/2023;Australia;44;Female;Laptop;13 Months
235;Premium;11;17/05/2022;25/06/2023;Germany;50;Male;Laptop;13 Months
236;Basic;11;08/05/2022;26/06/2023;France;39;Female;Smartphone;14 Months
237;Premium;13;07/07/2022;25/06/2023;Brazil;46;Female;Tablet;12 Months
238;Standard;15;17/07/2022;28/06/2023;Mexico;48;Male;Smartphone;12 Months
239;Basic;15;23/12/2022;26/06/2023;Spain;38;Male;Smart TV;6 Months
240;Standard;13;27/06/2022;26/06/2023;Italy;38;Male;Smartphone;12 Months
241;Premium;13;31/05/2022;27/06/2023;United States;47;Male;Laptop;13 Months
242;Basic;12;02/06/2022;26/06/2023;Canada;37;Male;Laptop;13 Months
243;Standard;11;25/05/2022;27/06/2023;United Kingdom;33;Male;Laptop;13 Months
244;Premium;15;26/04/2022;26/06/2023;Australia;28;Male;Smartphone;14 Months
245;Basic;13;20/04/2022;26/06/2023;Germany;47;Male;Smart TV;14 Months
246;Premium;11;03/05/2022;25/06/2023;France;38;Female;Smartphone;14 Months
247;Basic;12;07/07/2022;27/06/2023;Brazil;27;Male;Smart TV;12 Months
248;Standard;13;15/09/2022;26/06/2023;Mexico;34;Male;Smartphone;9 Months
249;Standard;14;16/09/2022;27/06/2023;Spain;42;Female;Smartphone;9 Months
250;Basic;14;09/08/2022;26/06/2023;Italy;28;Male;Laptop;11 Months
251;Premium;15;25/06/2022;27/06/2023;United States;30;Male;Laptop;12 Months
252;Basic;11;30/05/2022;26/06/2023;Canada;38;Female;Smartphone;13 Months
253;Standard;15;21/05/2022;25/06/2023;United Kingdom;45;Female;Tablet;13 Months
254;Premium;12;20/05/2022;27/06/2023;Australia;48;Female;Smart TV;13 Months
255;Basic;13;20/05/2022;26/06/2023;Germany;46;Female;Smart TV;13 Months
256;Premium;12;30/05/2022;26/06/2023;France;34;Male;Tablet;13 Months
257;Basic;13;17/06/2022;25/06/2023;Brazil;46;Male;Laptop;12 Months
258;Standard;11;16/07/2022;28/06/2023;Mexico;41;Female;Smartphone;12 Months
259;Standard;15;05/08/2022;26/06/2023;Spain;28;Male;Smartphone;11 Months
260;Basic;10;17/07/2022;26/06/2023;Italy;27;Female;Smartphone;11 Months
261;Premium;13;04/07/2022;25/06/2023;United States;27;Female;Smart TV;12 Months
262;Basic;12;13/07/2022;26/06/2023;Canada;28;Female;Tablet;12 Months
263;Standard;15;25/07/2022;24/06/2023;United Kingdom;46;Male;Smartphone;11 Months
264;Premium;10;09/08/2022;27/06/2023;Australia;51;Male;Smartphone;11 Months
265;Basic;11;05/08/2022;25/06/2023;Germany;32;Female;Smart TV;11 Months
266;Premium;10;17/08/2022;26/06/2023;France;44;Male;Tablet;10 Months
267;Basic;11;08/09/2022;27/06/2023;Brazil;44;Female;Laptop;10 Months
268;Standard;13;16/10/2022;28/06/2023;Mexico;34;Female;Smart TV;9 Months
269;Standard;13;15/10/2022;25/06/2023;Spain;29;Female;Laptop;8 Months
270;Basic;12;04/09/2022;25/06/2023;Italy;47;Male;Smart TV;10 Months
271;Premium;14;20/08/2022;26/06/2023;United States;41;Male;Laptop;10 Months
272;Basic;10;10/08/2022;26/06/2023;Canada;36;Female;Smartphone;11 Months
273;Standard;12;02/08/2022;25/06/2023;United Kingdom;28;Female;Laptop;11 Months
274;Premium;10;01/08/2022;24/06/2023;Australia;27;Female;Tablet;11 Months
275;Basic;15;06/08/2022;25/06/2023;Germany;34;Female;Laptop;11 Months
276;Premium;14;09/08/2022;25/06/2023;France;34;Female;Smart TV;11 Months
277;Basic;13;12/09/2022;26/06/2023;Brazil;37;Female;Tablet;10 Months
278;Standard;14;27/09/2022;26/06/2023;Mexico;34;Female;Laptop;9 Months
279;Standard;15;12/11/2022;24/06/2023;Spain;50;Female;Laptop;7 Months
280;Basic;12;13/11/2022;27/06/2023;Italy;34;Female;Laptop;8 Months
281;Premium;12;02/11/2022;28/06/2023;United States;33;Female;Smart TV;8 Months
282;Basic;11;30/10/2022;25/06/2023;Canada;33;Male;Smart TV;8 Months
283;Standard;15;30/06/2022;26/06/2023;United Kingdom;46;Male;Smartphone;12 Months
284;Premium;14;04/08/2022;28/06/2023;Australia;39;Female;Smartphone;11 Months
285;Basic;10;01/09/2022;27/06/2023;Germany;42;Female;Laptop;10 Months
286;Premium;14;14/10/2022;27/06/2023;France;50;Female;Laptop;9 Months
287;Basic;10;16/10/2022;26/06/2023;Brazil;43;Male;Smartphone;8 Months
288;Standard;14;20/10/2022;28/06/2023;Mexico;51;Male;Smart TV;8 Months
289;Standard;15;20/11/2022;25/06/2023;Spain;34;Female;Smart TV;7 Months
290;Basic;12;25/11/2022;30/06/2023;Italy;48;Male;Smartphone;7 Months
291;Premium;13;04/12/2022;27/06/2023;United States;29;Female;Tablet;7 Months
292;Basic;11;12/12/2022;27/06/2023;Canada;43;Female;Laptop;7 Months
293;Standard;14;09/12/2022;25/06/2023;United Kingdom;39;Female;Laptop;7 Months
294;Premium;10;15/10/2022;29/06/2023;Australia;50;Male;Laptop;9 Months
295;Basic;14;03/10/2022;27/06/2023;Germany;45;Male;Laptop;9 Months
296;Basic;12;01/10/2022;27/06/2023;France;48;Female;Tablet;9 Months
297;Basic;13;02/11/2022;24/06/2023;Brazil;40;Male;Smartphone;8 Months
298;Standard;14;03/11/2022;27/06/2023;Mexico;41;Male;Tablet;8 Months
299;Premium;10;30/10/2022;27/06/2023;Spain;27;Male;Smartphone;8 Months
300;Basic;11;30/10/2022;28/06/2023;Italy;36;Male;Laptop;8 Months
301;Basic;10;27/09/2022;24/06/2023;United States;36;Female;Laptop;9 Months
302;Premium;11;14/09/2022;27/06/2023;Canada;44;Male;Tablet;10 Months
303;Standard;12;11/06/2022;26/06/2023;United Kingdom;45;Male;Tablet;13 Months
304;Standard;12;11/06/2022;29/06/2023;Australia;33;Female;Smartphone;13 Months
305;Basic;13;24/05/2022;26/06/2023;Germany;47;Male;Smart TV;13 Months
306;Premium;13;06/07/2022;27/06/2023;France;45;Male;Tablet;12 Months
307;Standard;11;08/07/2022;28/06/2023;Brazil;29;Female;Smart TV;12 Months
308;Basic;13;27/10/2022;27/06/2023;Mexico;31;Male;Smart TV;8 Months
309;Standard;11;09/08/2022;28/06/2023;Spain;31;Male;Smartphone;11 Months
310;Premium;15;14/06/2022;26/06/2023;Italy;49;Female;Smartphone;13 Months
311;Basic;15;07/06/2022;27/06/2023;United States;29;Female;Smartphone;13 Months
312;Premium;12;27/05/2022;26/06/2023;Canada;50;Male;Laptop;13 Months
313;Standard;13;27/05/2022;27/06/2023;United Kingdom;36;Female;Laptop;13 Months
314;Basic;10;21/04/2022;26/06/2023;Australia;28;Male;Laptop;14 Months
315;Standard;15;28/04/2022;27/06/2023;Germany;47;Female;Smart TV;14 Months
316;Premium;12;27/05/2022;25/06/2023;France;50;Female;Laptop;13 Months
317;Basic;15;25/08/2022;28/06/2023;Brazil;44;Female;Tablet;10 Months
318;Standard;10;02/09/2022;27/06/2023;Mexico;39;Female;Laptop;10 Months
319;Premium;14;22/08/2022;26/06/2023;Spain;32;Female;Smartphone;10 Months
320;Basic;15;02/08/2022;27/06/2023;Italy;30;Female;Laptop;11 Months
321;Premium;12;22/06/2022;27/06/2023;United States;33;Female;Smartphone;12 Months
322;Basic;15;04/06/2022;27/06/2023;Canada;44;Male;Smartphone;13 Months
323;Standard;14;31/05/2022;26/06/2023;United Kingdom;40;Male;Smartphone;13 Months
324;Standard;15;22/05/2022;27/06/2023;Australia;32;Male;Tablet;13 Months
325;Basic;13;29/05/2022;27/06/2023;Germany;32;Male;Tablet;13 Months
326;Premium;11;11/06/2022;27/06/2023;France;30;Male;Smartphone;13 Months
327;Basic;12;06/07/2022;26/06/2023;Brazil;32;Female;Smartphone;12 Months
328;Standard;12;26/07/2022;27/06/2023;Mexico;45;Female;Tablet;11 Months
329;Premium;11;22/07/2022;25/06/2023;Spain;35;Female;Smart TV;11 Months
330;Basic;10;06/07/2022;26/06/2023;Italy;40;Female;Smart TV;12 Months
331;Premium;14;08/07/2022;26/06/2023;United States;29;Female;Tablet;12 Months
332;Basic;14;22/07/2022;26/06/2023;Canada;31;Male;Tablet;11 Months
333;Standard;15;24/07/2022;27/06/2023;United Kingdom;43;Female;Smart TV;11 Months
